TotalCharges,tenure,MonthlyCharges,PaymentMethod_Electronic check,InternetService_Fiber optic,Contract_Two year,gender_Male,OnlineSecurity_Yes,PaperlessBilling_Yes,Partner_Yes,TechSupport_Yes,Contract_One year,OnlineBackup_Yes,SeniorCitizen,MultipleLines_Yes
29.85,1,29.85,True,False,False,False,False,True,True,False,False,True,0,False
1889.5,34,56.95,False,False,False,True,True,False,False,False,True,False,0,False
108.15,2,53.85,False,False,False,True,True,True,False,False,False,True,0,False
1840.75,45,42.3,False,False,False,True,True,False,False,True,True,False,0,False
151.65,2,70.7,True,True,False,False,False,True,False,False,False,False,0,False
820.5,8,99.65,True,True,False,False,False,True,False,False,False,False,0,True
1949.4,22,89.1,False,True,False,True,False,True,False,False,False,True,0,True
301.9,10,29.75,False,False,False,False,True,False,False,False,False,False,0,False
3046.05,28,104.8,True,True,False,False,False,True,True,True,False,False,0,True
3487.95,62,56.15,False,False,False,True,True,False,False,False,True,True,0,False
587.45,13,49.95,False,False,False,True,True,True,True,False,False,False,0,False
326.8,16,18.95,False,False,True,True,False,False,False,False,False,False,0,False
5681.1,58,100.35,False,True,False,True,False,False,True,False,True,False,0,True
5036.3,49,103.7,False,True,False,True,False,True,False,False,False,True,0,True
2686.05,25,105.5,True,True,False,True,True,True,False,True,False,False,0,False
7895.15,69,113.25,False,True,True,False,True,False,True,True,False,True,0,True
1022.95,52,20.65,False,False,False,False,False,False,False,False,True,False,0,False
7382.25,71,106.7,False,True,True,True,True,False,False,False,False,False,0,True
528.35,10,55.2,False,False,False,False,False,False,True,True,False,False,0,False
1862.9,21,90.05,True,True,False,False,False,True,False,False,False,True,0,False
39.65,1,39.65,True,False,False,True,False,True,False,False,False,False,1,False
202.25,12,19.8,False,False,False,True,False,False,True,False,True,False,0,False
20.15,1,20.15,False,False,False,True,False,False,False,False,False,False,0,False
3505.1,58,59.9,False,False,True,False,False,True,True,True,False,True,0,True
2970.3,49,59.6,False,False,False,True,True,False,True,True,False,True,0,False
1530.6,30,55.3,False,False,False,False,True,True,False,False,False,True,0,False
4749.15,47,99.35,True,True,False,True,False,True,True,False,False,True,0,True
30.2,1,30.2,True,False,False,True,False,False,True,False,False,True,0,False
6369.45,72,90.25,False,False,True,True,True,True,True,True,False,True,0,True
1093.1,17,64.7,False,False,False,False,False,True,False,False,False,False,0,False
6766.95,71,96.35,False,True,True,False,True,True,True,True,False,True,1,True
181.65,2,95.5,False,True,False,True,False,True,True,False,False,False,1,False
1874.45,27,66.15,False,False,False,False,True,False,True,True,True,True,0,False
20.2,1,20.2,False,False,False,True,False,False,False,False,False,False,0,False
45.25,1,45.25,False,False,False,True,False,False,False,False,False,False,1,False
7251.7,72,99.9,False,True,True,False,True,False,True,True,False,True,0,True
316.9,5,69.7,True,True,False,True,False,True,False,False,False,False,0,False
3548.3,46,74.8,False,True,False,False,False,True,False,False,False,False,0,False
3549.25,34,106.35,True,True,False,True,False,True,False,False,False,True,0,True
1105.4,11,97.85,False,True,False,False,False,True,False,False,False,False,0,True
475.7,10,49.55,False,False,False,True,False,False,True,False,True,True,0,False
4872.35,70,69.2,False,False,True,False,True,True,True,False,False,True,0,True
418.25,17,20.75,False,False,False,False,False,False,True,False,True,False,0,False
4861.45,63,79.85,False,False,True,False,True,True,False,True,False,True,0,True
981.45,13,76.2,True,False,False,False,True,True,True,True,False,True,0,True
3906.7,49,84.5,True,True,False,False,False,True,False,False,False,False,0,True
97.0,2,49.25,False,False,False,True,False,False,False,False,False,True,0,False
144.15,2,80.65,True,True,False,False,False,True,False,False,False,False,0,False
4217.8,52,79.75,False,False,True,True,True,True,False,True,False,False,0,True
4254.1,69,64.15,False,False,True,False,True,True,True,True,False,False,0,True
3838.75,43,90.25,True,True,False,False,False,True,False,False,False,True,1,True
1426.4,15,99.1,False,True,False,False,True,True,False,False,False,True,0,False
1752.65,25,69.5,False,False,False,False,True,True,True,True,False,False,1,True
633.3,8,80.65,False,True,False,False,False,True,True,False,False,True,1,True
4456.35,60,74.85,False,False,False,False,True,True,True,True,True,True,1,False
1752.55,18,95.45,True,True,False,True,False,True,False,False,False,False,1,True
6311.2,63,99.65,False,True,False,False,True,True,True,False,True,False,0,True
7076.35,66,108.45,True,True,False,True,False,True,True,True,True,True,1,True
894.3,34,24.95,False,False,True,False,False,False,True,False,False,False,0,True
7853.7,72,107.5,False,True,True,False,False,True,False,True,False,False,0,True
4707.1,47,100.5,True,True,False,False,False,True,True,False,False,False,0,True
5450.7,60,89.9,False,True,False,True,False,True,False,False,False,True,0,True
2962.0,72,42.1,False,False,True,True,True,False,True,False,False,True,0,False
957.1,18,54.4,False,False,False,False,False,True,True,True,True,False,0,False
857.25,9,94.4,True,True,False,False,False,False,False,False,False,False,0,True
244.1,3,75.3,True,False,False,False,False,True,False,True,False,True,0,False
3650.35,47,78.9,True,True,False,True,False,True,True,False,True,True,0,True
2497.2,31,79.2,False,False,True,False,False,False,False,True,False,True,0,False
930.9,50,20.15,False,False,True,False,False,False,True,False,False,False,0,False
887.35,10,79.85,False,True,False,True,True,True,False,False,False,False,0,False
49.05,1,49.05,False,False,False,True,False,False,False,True,False,False,0,False
1090.65,52,20.4,True,False,False,False,False,True,True,False,True,False,0,False
7099.0,64,111.6,False,True,True,True,True,True,True,True,False,False,1,True
1424.6,62,24.25,False,False,True,True,False,True,True,False,False,False,0,True
177.4,3,64.5,False,False,False,False,True,True,False,True,False,False,0,False
6139.5,56,110.5,True,True,False,False,True,False,False,False,True,True,1,True
2688.85,46,55.65,False,False,False,False,False,False,False,False,True,False,0,False
482.25,8,54.65,False,False,False,False,True,False,True,False,False,True,0,False
2111.3,30,74.75,True,False,False,True,True,True,False,False,False,True,1,False
1216.6,45,25.9,False,False,False,False,False,True,True,False,True,False,0,True
79.35,1,79.35,True,True,False,False,False,True,False,False,False,False,0,False
565.35,11,50.55,True,False,False,False,True,False,True,False,False,False,0,False
496.9,7,75.15,False,True,False,False,False,True,True,False,False,False,0,False
4327.5,42,103.8,False,True,False,False,False,True,False,True,False,True,0,False
973.35,49,20.15,False,False,True,False,False,True,True,False,False,False,0,False
918.75,9,99.3,False,True,False,True,False,True,False,False,False,True,0,True
2215.45,35,62.15,False,False,False,False,True,True,True,False,True,False,0,False
1057.0,48,20.65,False,False,True,False,False,False,True,False,False,False,0,False
927.1,46,19.95,False,False,True,False,False,True,True,False,False,False,0,False
1009.25,29,33.75,False,False,False,True,False,False,True,False,False,False,0,False
2570.2,30,82.05,False,True,False,True,False,False,True,False,False,True,0,False
74.7,1,74.7,True,True,False,True,False,False,False,True,False,False,1,False
5714.25,66,84.0,False,False,True,True,True,True,True,True,False,False,0,True
